GISJOIN,STATE,STATEFP,STATENH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
G230,Maine,23,230,992048,1124660,1227928,1274923,1328361,1329084,0,84622,78514,85722,70726,69520,99402,84179,88506,83022,74116,101957,94277,84579,92252,79013,57866,64417,50195,55238,51884,35495,42995,37732,34247,36426,16768,20785,18500,15330,17408,15888,20187,17334,14805,16566,42374,57466,50206,39521,45672,58502,92242,98773,71951,72681,51208,86557,106462,85666,71943,109027,122725,193345,212980,171376,109720,112021,124751,192596,218575,49095,56566,54216,68490,102441,19216,20947,21622,22367,37823,26316,29864,32612,32330,51837,68687,82288,91600,96196,112651,36071,44531,53547,63890,69293,9834,14099,18226,23316,29136,957350,1087722,1190759,1240011,1292816,34698,36938,37169,34912,35545,302923,395184,465312,518200,557219,245565,293936,328685,340685,350621,5768,12957,19533,26464,206,397169,501093,587045,651901,721830,302923,395184,465312,518200,557219,94246,105909,121733,133701,164611,6998,8821,12622,11153,15738,3016,4873,5911,6249,9711,1821,3184,3564,3569,3110,66648,79876,88206,101540,118470,15763,9155,11430,11190,17582
G240,Maryland,24,240,3922399,4216975,4781468,5296486,5773552,5785496,0,344267,272274,357818,353393,364488,404492,292916,332373,391318,366868,409928,356578,297164,392135,379029,222805,245762,174886,219326,242579,133334,159249,135764,136793,163662,64719,80108,72647,66616,81013,64184,78717,71101,62571,77465,196552,233566,225861,184942,235220,286425,371136,449196,342870,393548,238005,354443,450902,405651,368494,471887,527067,777006,916156,795572,463893,446488,521801,755032,902204,178469,222682,202170,268647,377989,62126,78069,79094,86667,134879,81631,102311,116203,115062,182900,191994,247209,314491,321285,386357,86550,115735,156495,211120,223159,21138,32665,46496,66902,98126,3817582,4122547,4667612,5162430,5635177,104817,94428,113856,134056,138375,1175073,1460865,1748991,1980859,2156411,971877,1089559,1245814,1359318,1447002,8293,17730,25614,36056,159,1249177,1570907,1891917,2145283,2378814,1175073,1460865,1748991,1980859,2156411,74104,110042,142926,164424,222403,25540,32140,44397,41751,61874,6953,14067,19036,22375,32883,6746,11587,13701,12492,10328,22642,34269,42486,39047,55963,12223,17979,23306,48759,61355
G250,Massachusetts,25,250,5689170,5737037,6016425,6349097,6547629,6560595,0,470066,337215,412473,397268,367087,542364,374734,378035,430861,385687,555393,461332,348093,431247,405613,307941,317108,214474,240688,260536,206615,231131,195460,175049,202220,98801,115453,106668,86049,101248,94621,113319,103331,81961,96372,270983,324130,303640,236269,278048,371597,489175,556920,434024,441525,295250,446395,544441,492764,403616,627682,627300,918456,1062995,887149,668757,584835,600095,873353,1012435,290128,310995,253458,310002,432822,108569,115851,103605,99290,156594,144218,161533,157992,137115,213953,381011,422615,459881,427830,456460,203724,230008,267194,315640,301065,51450,73908,92209,116692,145199,5482385,5537385,5802118,6127881,6308747,206785,199652,214307,221216,238882,1759692,2032717,2247110,2443580,2547075,1387932,1438602,1514746,1576696,1603591,7458,17224,25952,35485,157,1890400,2208146,2472711,2621989,2808254,1759692,2032717,2247110,2443580,2547075,130708,175429,225601,178409,261179,37130,46125,67772,34174,66673,6879,11840,23288,10861,25038,6953,10786,12490,9218,10230,65813,81955,90501,93965,115791,13933,24723,31550,30191,43447
G260,Michigan,26,260,8875083,9262078,9295297,9938444,9883640,9897264,0,804463,685113,702554,672005,596286,923818,727120,692247,745181,637784,979265,801874,666370,747012,675216,543824,537879,397594,431569,434782,328800,363398,299209,288298,304817,147268,182845,150757,140244,149350,141907,180689,143173,134087,138484,413567,530896,411388,369508,381238,593598,806918,764262,654629,589583,488765,708369,810291,707542,574566,1002322,1028999,1406149,1598373,1277974,1007008,930931,948119,1367939,1510033,411253,471411,392787,485895,683186,144657,165238,160021,159433,243067,191613,228140,241915,217711,325744,466622,556510,655838,642880,724709,231850,274095,345716,433678,444940,54483,81653,106907,142460,191881,8674655,9064141,9083605,9688555,9654572,200428,197937,211692,249889,229068,2653059,3195213,3419331,3785661,3872508,2181816,2392504,2439171,2575699,2554073,7688,14154,22168,25547,101,2954570,3589912,3847926,4234279,4532233,2653059,3195213,3419331,3785661,3872508,301511,394699,428595,448618,659725,57675,69008,76606,72805,141687,22033,32191,31589,44250,77080,14152,24595,26763,27161,24662,177879,215958,226621,235371,264844,29772,52947,67016,69031,151452
G270,Minnesota,27,270,3804971,4075970,4375099,4919479,5303925,5313081,0,331771,307249,336800,329594,355504,402635,296295,345840,355894,355536,415021,333378,313297,374995,352342,232060,234886,170846,226411,220681,141345,164932,126763,147951,147148,62354,82283,66046,70334,72732,58893,78800,62546,65906,70594,170790,232483,187454,186243,212325,249516,363435,381759,319826,372686,206769,313104,397984,353312,342900,395573,449216,666084,824182,681094,396860,380250,428460,665696,807898,177011,189457,173066,226857,349589,66161,69869,68308,75503,120761,89293,100769,102912,102509,159014,240406,270148,294522,295825,354427,134773,156627,183577,212840,222030,33740,52789,68835,85601,106664,3692374,3957515,4257478,4783596,5168530,112597,118455,117621,135883,135395,1153946,1445222,1647853,1895127,2087227,916554,1037522,1130683,1255141,1349015,7451,14389,23198,30656,130,1276198,1612960,1848445,2065946,2347201,1153946,1445222,1647853,1895127,2087227,122252,167738,200592,170819,259974,20352,24992,39916,20452,48091,6908,15979,17983,13392,30726,6012,10356,9811,8022,9430,64458,97753,105659,106163,130805,24522,18658,27223,22790,40922
G280,Mississippi,28,280,2216912,2520638,2573216,2844658,2967297,2967620,0,209606,215279,195365,204364,210956,237772,219048,211918,216920,205672,252427,226276,213305,218742,208248,143962,153594,126173,135161,130679,89009,105284,96706,98027,93940,41171,51191,45141,47999,45798,36149,47670,41320,44153,43475,96012,134644,110179,120795,121621,128157,197129,197740,192526,199082,114489,172410,202280,189272,188171,223597,260505,349564,425372,374947,219439,231819,247745,361981,416976,104786,112768,107784,132202,186569,41276,44516,42033,47422,67854,56740,59148,64679,66199,92902,141404,179949,180149,185710,214469,63599,85899,108800,114922,121579,17317,23509,32335,42891,44359,2159220,2455073,2503499,2749244,2875333,57692,65565,69717,95414,91964,636724,827169,911374,1046434,1115768,530304,642704,674378,747159,770266,5183,9648,15853,20670,155,699150,911627,1010423,1161953,1274719,636724,827169,911374,1046434,1115768,62426,84458,99049,115519,158951,20204,21464,27239,29486,44735,5448,7975,12662,12456,16886,3602,8538,9734,10035,6835,10940,20036,16348,22144,29185,22232,26445,33066,41398,61310
G290,Missouri,29,290,4676501,4916686,5117073,5595211,5988927,5982413,0,371072,354144,369244,369898,390237,448601,355426,378850,398898,390463,470754,382168,360481,412080,396925,262445,270745,206251,246816,247811,167208,190591,156566,166480,175975,76262,93478,77802,81184,86528,70922,89370,71767,76006,83511,207513,262594,211056,212308,243250,298326,398398,420001,362305,403239,251998,354339,432041,376428,372228,509814,540566,734771,887569,748616,518134,496552,523177,742462,888572,239820,254957,228556,279073,389985,92993,93460,90491,95840,140830,129983,131772,138338,132485,192463,337192,381060,394202,393226,450490,177594,205994,242262,263582,274025,45870,61072,81217,98571,113779,4538217,4788461,4971676,5433153,5814785,138284,128225,145397,162058,174142,1520567,1793399,1961206,2194594,2375611,1199995,1311652,1368334,1476516,1552133,6917,12989,19936,25546,110,1673361,1988915,2199129,2442017,2712729,1520567,1793399,1961206,2194594,2375611,152794,195516,237923,247423,337118,54316,53636,73245,64167,92946,14766,25182,30803,33775,44200,10135,20673,20238,18843,15388,20296,53371,55847,66315,80567,53281,42654,57790,64323,104017
G300,Montana,30,300,694409,786690,799065,902195,989415,990785,0,57054,64455,59257,54869,62423,72258,60238,65377,61963,60765,78618,62539,62899,69298,61124,45195,44663,34571,43932,39251,25151,29959,22242,27378,27473,11297,15151,10461,12889,13789,10934,14768,9802,12143,13517,29291,44099,27506,33347,39832,42202,71516,56111,51104,64123,37677,61409,66959,52175,58741,74998,88419,126756,141941,112945,77837,73677,82306,135088,149832,34726,36557,34005,47174,75915,12348,14325,13894,15906,27095,16087,20356,20422,22039,35848,38826,51528,60884,62519,80742,23694,24194,34937,43093,45979,6216,8837,10676,15337,20021,674189,766624,775318,877433,960566,20220,20066,23747,24762,28849,217304,283742,306163,358667,409607,170093,205290,211666,237407,257087,6589,11213,17151,25002,230,246603,328465,361155,412633,482825,217304,283742,306163,358667,409607,29299,44723,54992,53966,73218,8102,10997,10601,9163,10082,1846,3739,6228,5581,5964,1128,2776,3175,2540,2126,9705,19046,21069,24461,38793,8518,8165,13919,12221,16253
G310,Nebraska,31,310,1483493,1569825,1578385,1711263,1826341,1827306,0,120222,122946,119606,117048,131908,147228,118045,126401,123445,128928,152969,120907,117383,128934,122706,87072,85272,65622,80815,75679,56103,61977,47238,54094,53251,25754,31100,23257,26068,26880,23928,29747,21988,24849,25679,65005,87887,63404,69414,76717,89053,134794,125218,112049,129076,77931,114407,131990,111224,116100,159081,163774,228812,263834,220838,156963,150653,149389,225754,258726,71788,75104,67281,77584,117686,28289,27979,26976,26258,41651,38581,39549,40752,37698,53839,105221,114021,117643,115699,123126,61964,67919,76223,82543,84243,16341,23744,29202,33953,39308,1431184,1521345,1530832,1660445,1775176,52309,48480,47553,50818,51165,473721,571400,602363,666184,721130,372430,411708,415427,443411,467206,6936,12452,19613,26523,156,515069,624829,660621,722668,796793,473721,571400,602363,666184,721130,41348,53429,58258,56484,75663,13343,15508,16804,17936,24404,4329,7858,6836,8284,9167,3771,6063,4863,4582,4083,5957,10623,11329,12039,13941,13948,13377,18426,13643,24068
G320,Nevada,32,320,488738,800493,1201833,1998257,2700551,2704204,0,43844,56132,92217,145817,187478,50652,55689,85562,149322,183077,49560,61744,76008,139193,183173,26093,42234,43161,77467,111280,14092,27928,30999,49702,71320,7416,14761,16864,25378,35554,7824,14866,16948,25027,34258,23835,47815,54134,79601,107697,37482,75951,110583,148726,196644,34120,69197,111444,157885,190642,62483,105311,192265,321961,383043,58822,85410,136000,269050,376527,23671,42116,54681,105057,164575,7983,14994,21466,35967,62389,9893,20589,31870,49175,88535,21091,45998,85785,131775,197781,7990,16118,34383,70165,96391,1887,3640,7463,16989,30187,478539,788317,1177633,1964582,2664397,10199,12176,24200,33675,36154,160052,304327,466297,751165,1006250,123891,207424,307400,498333,656621,8453,15214,21989,27003,176,172558,339949,518858,827457,1173814,160052,304327,466297,751165,1006250,12506,35622,52561,76292,167564,4690,14028,21220,31635,61985,1768,6710,6116,12021,32949,818,2841,5215,4209,5254,2659,7494,11522,16807,32945,2571,4549,8488,11620,34431
G330,New Hampshire,33,330,737681,920610,1109252,1235786,1316470,1317474,0,65356,62512,84565,75685,69806,74921,67997,80641,88537,77756,73999,76763,71725,93255,84620,39935,50810,41824,52085,55052,27329,36966,34640,34603,38568,12829,17966,17759,15858,18591,12302,17178,17190,15053,18356,33391,48480,48013,37855,47599,48435,79468,98662,71355,73121,40835,77928,106161,88706,71351,81436,107028,182632,221179,179178,81316,90121,112215,183986,225961,35325,44749,44703,62664,96289,13529,16438,17518,19860,34487,18331,23239,25975,27135,47467,47583,61788,71471,78327,96762,24386,31529,40272,51412,56745,6443,9650,13286,18231,24761,707257,890982,1077101,1200247,1276366,30424,29628,32151,35539,40104,225378,323493,411186,474606,518973,182832,238667,292601,323651,344197,6966,15959,23844,32758,268,280962,386381,503904,547024,614754,225378,323493,411186,474606,518973,55584,62888,92718,72418,95781,5022,6774,17435,5218,13293,2100,3675,7648,3252,7521,1439,2270,3218,1898,2180,36991,45884,57177,56442,63937,10032,4285,7240,5608,8850
G340,New Jersey,34,340,7168164,7364823,7730188,8414350,8791894,8793888,0,589226,463289,532637,563785,541020,692648,508447,493044,604529,564750,710409,605841,480983,590577,587335,392562,413284,292798,328667,372109,219269,257381,212590,196549,225990,103383,124854,113489,96770,108760,99119,122729,109090,94284,106219,306696,367245,344015,289025,326259,463164,574135,668917,544917,553139,403475,563758,691734,644123,556662,879421,879823,1196659,1435106,1238297,917081,826558,843009,1158898,1379196,380677,430048,355677,423338,565623,136379,155560,145713,139928,201084,177666,212100,217808,190718,279458,439869,530707,610192,574669,611434,209210,256833,326286,402468,394948,47910,72231,95547,135999,179611,7021296,7228290,7558820,8219529,8605018,146868,136533,171368,194821,186876,2218182,2548594,2794711,3064645,3214360,1833423,1931578,2021346,2154539,2226606,8127,18714,27006,35928,157,2388011,2772149,3075310,3310275,3553562,2218182,2548594,2794711,3064645,3214360,169829,223555,280599,245630,339202,29914,49154,78771,49858,92118,9159,22964,46271,24546,39260,9937,18202,21519,15206,12723,106892,105825,100858,109321,135059,13927,27410,33180,46699,60042
G350,New Mexico,35,350,1016000,1302894,1515069,1819046,2059179,2055287,0,96659,114731,125878,130628,144981,119216,109615,131059,141171,143308,122820,114101,121632,147309,141691,67521,79460,68172,89466,88692,37643,52846,45766,56285,61169,17676,26024,22402,26641,29935,17305,25009,21176,24702,28237,47714,74395,62480,69948,84198,65157,115344,126083,115387,139678,59569,101303,130666,118704,127567,116064,144938,227717,282009,248523,101770,122043,147448,245819,292009,41728,58424,62038,87140,136799,14934,20192,24205,30051,51238,19613,28563,35285,41561,68899,44988,74732,97607,117745,153794,20607,32391,51223,71174,86468,5016,8783,14232,23306,31993,991664,1280108,1486262,1782739,2016550,24336,22786,28807,36307,42629,289389,441466,542709,677971,791395,241819,332058,391487,466515,518698,6119,11246,17261,23749,168,325722,507513,632058,780579,901388,289389,441466,542709,677971,791395,36333,66047,89349,102608,109993,11036,17477,22660,26697,22150,5258,6444,8744,10693,11050,2046,5043,6689,4738,3446,8518,24069,22464,32322,36841,9475,13014,28792,28158,36506
G360,New York,36,360,18236967,17558072,17990455,18976457,19378102,19398125,0,1486743,1135925,1255764,1239417,1155822,1679035,1184879,1178006,1351857,1163955,1711644,1406060,1140177,1332433,1211456,963853,960999,685602,766400,793696,599326,637572,544525,521144,572582,285914,314719,294541,260034,293083,273425,307969,279689,249264,281596,823037,897258,834669,735011,836256,1226209,1428376,1564617,1304725,1380177,1038364,1351839,1573571,1452599,1279160,2152492,2043219,2724685,3074298,2610017,2194389,1908113,1913920,2552936,2878691,979622,979370,811857,932008,1237408,370825,354865,335402,319811,453993,491337,486142,489708,436168,612267,1244433,1292428,1348279,1276046,1360602,582416,675356,767270,860818,866467,133903,192983,248173,311488,390874,17775236,17107975,17445190,18395996,18792424,461731,450097,545265,580461,585678,5913861,6340429,6639322,7056860,7317755,4584616,4443248,4489312,4639387,4649791,7498,16501,23389,32104,124,6298663,6867638,7226891,7679307,8108103,5913861,6340429,6639322,7056860,7317755,384802,527209,587569,622447,790348,93004,140915,163730,158569,200039,20507,36011,68180,59405,77225,22382,40466,44962,40439,33813,204586,215920,213436,235793,290193,44323,93897,97261,128241,189078
G370,North Carolina,37,370,5082059,5881766,6628637,8049313,9535483,9544249,0,437145,404076,458955,539509,632040,494799,447688,439621,562553,635945,520719,482228,436840,551367,631104,306379,323743,270733,310618,382546,213135,242579,227097,229313,277045,106116,125275,121249,122685,141076,99015,120396,115375,117974,136169,258941,333841,317332,336849,384328,346705,502579,572875,601522,627036,297201,461169,571000,611893,619557,589087,682634,1007611,1287120,1327151,562048,601335,698705,1085150,1368646,237113,295910,295739,400207,600722,87039,108276,116081,134692,222924,112497,146856,175083,188813,315115,268542,387587,483105,533777,697567,116929,170391,251267,329810,389051,28649,45203,69969,105461,147461,4893113,5687023,6404167,7795432,9278237,188946,194743,224470,253881,257246,1509564,2043291,2517026,3132013,3745155,1286452,1576622,1812053,2158869,2499174,6133,12885,20307,25285,106,1641222,2274737,2818193,3523944,4327528,1509564,2043291,2517026,3132013,3745155,131658,231446,301167,391931,582373,39600,54890,81952,92893,156587,11781,21637,32070,44007,71693,8048,21284,22061,26523,21181,36491,84233,100143,136760,193128,35738,49402,64941,91748,139784
G380,North Dakota,38,380,617761,652717,638800,642200,672591,676253,0,51338,54752,47845,39400,44595,64220,49016,52032,42982,40076,70334,51043,48820,47464,39790,40458,36180,26688,31003,25410,24311,27797,19980,22615,22064,11337,14705,10770,11633,12484,10643,14218,9963,10800,12007,26787,40470,27140,28070,34465,34603,58470,50154,38792,49596,30849,45687,53861,38095,40889,64198,63646,90020,98004,75262,63947,59128,57084,85431,96657,30923,29218,26268,28926,45946,11730,11086,10975,9888,15575,15715,16856,16145,14619,20298,39164,47147,47541,45901,46873,21536,25158,32274,33851,33916,5668,8140,11240,14726,16688,590508,625685,614566,618569,647535,27253,27032,24234,23631,25056,181613,227664,240878,257152,281192,147058,166702,166270,166150,170916,6417,11051,17769,28700,300,204222,258772,276340,289677,317498,181613,227664,240878,257152,281192,22609,31108,35462,32525,36306,5006,6982,8177,7642,7422,1718,4211,4616,4713,2734,1365,2588,2567,1631,1597,5966,9353,7746,8603,11802,8554,7974,12356,9936,12751
G390,Ohio,39,390,10652017,10797630,10847115,11353140,11536504,11533561,0,921030,787150,785149,754930,720856,1059474,821480,795135,816346,747889,1127185,886625,766822,827811,774699,630608,599065,452638,489252,487307,381613,408614,341281,327616,336375,175162,204093,170140,160084,163986,167832,202141,161619,150861,157045,490375,598685,463378,417983,442085,691686,907679,868564,735582,718630,600136,815697,926624,784312,691329,1222941,1199823,1615855,1805316,1479831,1245079,1126607,1113443,1566384,1742191,512314,581948,482526,553174,786857,183652,205715,196535,190279,284403,245236,282848,300445,265453,381006,604580,706554,828028,790252,850234,314990,354480,440903,540709,541352,78124,108426,138030,176796,230429,10406584,10569107,10585664,11054019,11230238,245433,228523,261451,299121,306266,3289432,3833828,4087546,4445773,4603435,2682953,2854191,2895223,2993023,2991629,7285,13461,21003,25857,99,3465356,4108105,4371945,4783051,5127508,3289432,3833828,4087546,4445773,4603435,175924,274277,284399,337278,524073,70534,101116,108117,125095,184143,20922,40786,37628,48404,78089,16222,30763,32961,33182,27389,38440,45195,37781,47594,58937,29806,56417,67912,83003,175515
G400,Oklahoma,40,400,2559229,3025290,3145585,3450654,3751351,3749005,0,197269,233307,226523,236353,264126,237875,229573,244122,244525,259336,253367,230675,231892,252029,253664,148231,161329,134470,159453,152540,93304,117658,98623,109920,111944,44891,59643,49492,54754,56068,43073,57117,45988,50548,54032,119486,167482,127286,141863,159142,162855,252745,248609,229026,265737,139613,222829,260710,222621,241018,283055,337220,452241,523522,460937,282306,298730,322975,453761,525611,131623,150228,141214,173199,235969,50521,55505,54286,59892,85815,72004,75123,82941,83238,118698,182761,224733,235135,242499,280467,92408,117412,143230,156276,164335,24587,33981,45848,57175,61912,2467592,2935020,3051908,3338279,3639334,91637,90270,93677,112375,112017,850803,1118561,1206135,1342293,1460450,676676,827078,855321,921750,975267,6858,11893,17646,24046,126,939681,1237040,1406499,1514400,1664378,850803,1118561,1206135,1342293,1460450,88878,118479,200364,172107,203928,35447,39516,66326,50165,59264,10600,18911,31254,23725,22671,5499,12711,14569,14228,11122,9517,20265,25547,32525,35505,27815,27076,62668,51464,75366
G410,Oregon,41,410,2091385,2633105,2842321,3421399,3831074,3836628,0,164060,198046,201421,223005,237556,194345,189329,209775,234474,237214,211284,202503,201365,242098,242553,127994,133179,111569,146949,149130,75368,92689,78386,97478,105730,34160,46124,40941,48047,52462,32777,45697,38492,45575,50575,95701,146039,109709,136784,150011,138978,253530,211981,233850,265033,115599,227623,239563,236845,259111,225782,303796,474851,526574,499525,243391,243605,296595,507155,539075,110739,129919,116011,173008,273423,40443,48449,46467,55894,100551,53965,69241,73871,75486,135592,135922,184554,224438,219342,290041,72163,90351,128071,161404,165620,18714,28431,38815,57431,77872,2034102,2575456,2776116,3343908,3744432,57283,57649,66205,77491,86642,691631,991593,1103313,1333723,1518938,541820,698930,750844,877671,963467,7557,13418,20940,26702,154,744616,1083285,1193567,1452709,1675562,691631,991593,1103313,1333723,1518938,52985,91692,90254,118986,156624,18577,27696,22638,37482,40193,5113,13416,9643,20349,24191,3370,8574,7951,7158,7009,15672,30237,31679,37183,55934,10253,11769,18343,16814,29297
G420,Pennsylvania,42,420,11793909,11863895,11881643,12281054,12702379,12699589,0,926187,747458,797058,727804,729538,1082755,805151,788301,827945,753635,1168554,931891,755161,863849,791151,670606,638796,454290,502623,517831,404824,441814,363768,348363,387235,182041,221397,187448,168194,191942,172886,218843,179959,159135,183257,497498,619575,495600,418757,498947,705823,945051,920217,732701,781527,609374,847847,992239,827785,729592,1367787,1274072,1744867,1948076,1615669,1515325,1296012,1213845,1705032,1940404,658686,712074,552378,619969,879048,239895,263430,236135,210894,312575,319542,369551,371271,300762,430721,790115,944065,1070021,969272,979538,390427,456908,587249,712326,674093,91584,129960,171836,237567,305676,11491699,11566338,11533219,11847753,12276266,302210,297557,348424,433301,426113,3705410,4219606,4495966,4777003,5018904,2999021,3134328,3155989,3208388,3261307,7077,14068,20880,28190,89,3924757,4596431,4938140,5249750,5567315,3705410,4219606,4495966,4777003,5018904,219347,376825,442174,472747,548411,61200,93020,102774,105585,135262,20984,42554,48763,55891,64818,18985,41825,43747,37494,29517,82707,125052,144571,148616,161993,35471,74374,102319,125161,156821
G720,Puerto Rico,72,720,,,,,3725789,3716727,0,,,,,224756,,,,,240004,,,,,268571,,,,,169964,,,,,114295,,,,,58205,,,,,53104,,,,,149541,,,,,244159,,,,,248173,,,,,483528,,,,,487807,,,,,223607,,,,,87395,,,,,130682,,,,,311662,,,,,167740,,,,,62596,,,,,3687834,,,,,37955,,,,,1376531,,,,,1006317,,,,10850,69,,,,,1636946,,,,,1376531,,,,,260415,,,,,43298,,,,,28182,,,,,12171,,,,,59636,,,,,117128
G440,Rhode Island,44,440,946725,947154,1003464,1048319,1052567,1052471,0,76035,56692,66969,63896,57448,85874,61465,63731,71905,60440,88289,74170,59406,71370,63824,49831,50524,35584,40651,42244,35849,39249,35278,34794,37802,19971,19617,19652,17258,19537,19540,19114,17538,16109,18508,48452,51500,47890,38446,44122,59319,76215,85852,64732,65799,47276,69820,87772,75594,61163,103702,98863,147617,170310,136860,115155,97804,96425,141863,162350,50268,55748,42077,49982,70634,18460,20736,18287,16298,25250,24772,28715,28839,22709,34705,63916,75562,85616,73684,73879,32298,39382,48915,57821,51252,7718,11978,16016,20897,26750,895568,913095,964869,1009503,1009904,51157,34059,38595,38816,42663,291965,338590,377977,408424,413600,235183,245128,258886,265398,259561,6897,14981,21688,30005,286,316477,372672,414572,439837,463388,291965,338590,377977,408424,413600,24512,34082,36595,31413,49788,7579,11341,13079,8615,15763,1190,2160,3388,2400,5171,1248,2301,2604,1726,1946,11663,12057,12053,13002,17089,2832,6223,5471,5670,9819
G450,South Carolina,45,450,2590516,3121820,3486703,4012012,4625364,4630351,0,235764,238516,256337,264679,302297,269242,253643,256076,285243,295853,282703,266179,253719,290479,297286,167454,183628,154075,169240,185038,113427,133606,123559,126137,143951,54627,67365,61955,62103,73846,49684,64313,58644,58504,69700,133891,182060,162368,161107,188948,174904,273137,296764,276855,304378,145341,243604,294584,283976,287678,286000,350505,523295,625124,601292,277119,299183,355610,550321,659428,114088,149937,148762,206762,303240,42075,55272,56803,69909,115411,53237,73544,87217,96240,165144,125224,189527,246305,270048,369043,52786,77797,119881,165016,192114,12950,20004,30749,50269,70717,2486106,3015909,3370160,3876975,4486210,104410,105911,116543,135037,139154,734373,1029981,1258044,1533854,1801181,624230,806037,928206,1072822,1216415,5886,11897,18795,23906,139,815123,1153709,1424155,1753670,2137683,734373,1029981,1258044,1533854,1801181,80750,123728,166111,219816,336502,25107,30124,49225,58176,92758,8640,11762,15186,21955,36523,4588,13133,13691,15930,12476,19063,43992,50203,70618,112901,23352,24717,37806,53137,81844
G460,South Dakota,46,460,665507,690768,696004,754844,814180,815871,0,54258,58446,54504,51069,59621,68635,52871,58795,54486,55531,74505,54400,55437,59463,53960,43522,39889,29726,37631,33685,26467,28752,20845,24832,23943,11749,14559,10169,12175,11907,10619,13548,9661,11097,11739,26278,38446,27438,29530,33950,35367,56868,53143,45084,55570,31705,45959,56270,45929,49859,68821,66432,95216,115386,93112,71436,64968,62669,97682,116918,32405,33567,29218,33611,54231,12381,12782,12176,11780,18999,16875,18262,18406,16958,24574,46837,50515,54471,53129,57627,26938,30077,34517,38916,39728,6709,10427,13343,16086,19226,637741,664682,670163,726426,780130,27766,26086,25841,28418,34050,200807,242523,259034,290245,322282,160364,177071,180306,194330,206964,5697,10661,17562,25570,276,225253,276997,292436,323208,363438,200807,242523,259034,290245,322282,24446,34474,33402,32963,41156,5416,8337,6912,8057,10366,1980,3605,3138,3718,3696,1953,3331,3311,2053,1956,5915,10706,8484,9874,13365,9182,8495,11557,9261,11773
G470,Tennessee,47,470,3923687,4591120,4877185,5689283,6346105,6353226,0,324733,326088,333415,374880,407813,376310,349928,337368,395813,412181,395738,369940,339098,395155,418941,228946,252604,206723,232673,257066,149008,177649,159843,162511,180120,70218,88513,79105,81801,89380,65315,84813,73731,78907,86356,185644,250087,214976,225637,250508,263668,387987,402977,403829,417683,227573,356636,409344,412072,406314,446580,533841,740988,902527,854130,439066,465366,526210,786916,926436,194376,230307,220952,293942,414991,73963,84139,85467,100479,155235,98624,115634,128170,138830,215489,242166,323027,357423,382852,487074,112897,153118,202601,238994,266471,28862,41443,58794,81465,99917,3824137,4479136,4748056,5541337,6192633,99550,111984,129129,147946,153472,1213187,1618505,1853725,2232905,2493552,1020300,1248433,1348019,1547835,1679177,6213,12255,19393,24294,130,1300908,1747422,2026067,2439443,2812133,1213187,1618505,1853725,2232905,2493552,87721,128917,172342,206538,318581,33469,43317,62856,64476,98370,10158,18904,26528,31876,47274,6774,14684,14967,14838,14498,12743,21676,23689,37154,61170,24577,30336,44302,58194,97269
G480,Texas,48,480,11196730,14229191,16986510,20851820,25145561,25208897,0,1000509,1169061,1390054,1624628,1928473,1145250,1169889,1396173,1654184,1928234,1182709,1179988,1294353,1631192,1881883,671368,787168,755259,976755,1127234,421384,565187,556432,659477,755890,206062,288527,280266,323645,369040,195869,278789,264658,305288,359015,556576,853042,789488,910471,1089024,762641,1302054,1532740,1591522,1853039,644455,1124483,1553431,1570561,1760434,1277585,1603231,2539025,3322238,3458382,1183498,1361666,1628634,2611137,3435336,510476,643396,661590,896521,1422924,190268,227338,255420,295009,500523,256021,304211,372411,406660,674244,627758,847265,998239,1142608,1472256,290626,411874,551732,691984,824451,73675,112022,166605,237940,305179,10888347,13887703,16593063,20290711,24564422,308383,341488,393447,561109,581139,3433996,4929267,6070937,7393354,8922933,2809850,3677865,4343878,5247794,6237148,7205,12904,19617,25809,87,3829502,5549352,7008999,8157575,9977436,3433996,4929267,6070937,7393354,8922933,395506,620085,938062,764221,1054503,151407,216160,354845,249240,394310,43838,80007,122490,85732,121430,21598,50286,64583,49625,46946,112481,154974,157649,176602,210942,66182,118658,238495,203022,280875
