GISJOIN,STATE,STATEFP,STATENH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
G120,Florida,12,120,6789443,9746324,12937926,15982378,18801310,18885152,0,501179,570224,849596,945823,1073506,605714,621534,814118,1031718,1080255,643014,685016,748355,1057024,1130847,359134,482862,454168,611775,717483,217642,328478,345111,402292,510899,105736,165674,177644,197368,258030,100813,161056,169269,184910,248602,289968,484697,523633,546032,722126,403096,739848,1052106,995358,1179227,358665,671563,1064138,1088742,1110318,746867,1038778,1811156,2485247,2431254,761987,989160,1291611,2069479,2741493,347337,555209,588552,821517,1202418,143497,223364,257504,299287,458751,215428,341288,421534,438209,676499,646681,1059153,1369652,1452176,1727940,285116,511078,789669,1024134,1097537,57569,117342,210110,331287,434125,6618475,9550078,12630465,15593433,18379601,170968,196246,307461,388945,421709,2284786,3744254,5134869,6337929,7420802,1805860,2690122,3511825,4210760,4835475,7270,14698,21557,26451,121,2526612,4378691,6100262,7302947,8989580,2284786,3744254,5134869,6337929,7420802,241826,634437,965393,965018,1568778,86326,128877,238480,195336,371626,28211,62845,122349,101667,198232,17077,59155,64907,53429,47349,84205,304607,421003,484825,658611,26007,78953,118654,129761,292960
G130,Georgia,13,130,4589575,5463105,6478216,8186453,9687653,9714569,0,421709,414935,495535,595150,686785,470311,446831,483952,615584,695161,480924,469598,466614,607759,689684,271344,314766,281202,350741,419922,171227,216007,215950,245536,290077,88770,106612,109209,125148,143471,84010,102653,103347,117767,137251,244169,306819,310078,349281,399358,330790,481276,589952,641750,673935,273995,448765,584944,657506,661625,517074,647332,1015698,1353508,1397540,485103,528004,668951,1079992,1391252,207126,246907,259735,375651,573551,76621,93355,96499,122259,209870,98944,122514,142280,163546,286136,235106,330874,388051,435695,606429,105226,146423,208975,261723,311783,27126,39434,57244,87857,113823,4452116,5320078,6304583,7952631,9434454,137459,143027,173633,233822,253199,1369225,1871652,2366615,3006369,3585584,1144427,1426645,1713072,2111647,2457810,6402,13631,21154,25309,123,1470557,2028350,2638418,3281737,4088801,1369225,1871652,2366615,3006369,3585584,101332,156698,271803,275368,503217,42988,55897,115115,86905,174416,11450,20915,38816,38440,83852,7325,16598,20006,20353,19910,16443,31025,34254,51033,82365,23126,32263,63612,78637,142674
G150,Hawaii,15,150,768561,964691,1108229,1211537,1360301,1362730,0,70811,77848,83223,78163,87407,79836,73057,80907,84980,83361,79812,74870,73896,83106,81539,44170,49808,42100,49518,51511,27673,36638,30391,31484,34483,16703,21909,18158,16957,18488,18168,21796,18013,17015,18853,46684,61977,54623,49437,58488,59459,95287,100178,84000,97302,47633,84314,100518,87159,88031,95529,111416,178339,191177,176373,84252,94444,108775,170979,193765,30343,47383,45375,60561,93340,10484,16362,19275,19566,35376,12888,21432,29453,26834,46846,29489,49375,78653,85262,100523,11614,21214,35955,57775,64377,3013,5561,10397,17564,30238,730095,925092,1070597,1175755,1317421,38466,39599,37632,35782,42880,203088,294052,356267,403240,455338,170358,226035,263456,287068,313907,7740,15770,21525,29227,208,216085,334235,389810,460542,519508,203088,294052,356267,403240,455338,12997,40183,33543,57302,64170,5064,16289,9451,15699,16441,1211,2153,1631,3720,4277,1627,4518,3735,2683,2105,2137,6431,12888,25641,30196,2958,10792,5838,9559,11151
G160,Idaho,16,160,712567,943935,1006749,1293953,1567582,1567803,0,63840,93531,80193,97643,121772,72961,82734,90043,100756,121195,79497,79218,90186,104608,116955,46930,51182,47983,66023,69150,27135,36800,32455,44835,46209,11807,17685,14609,19868,22204,10867,17202,13491,19396,21776,30652,51347,37692,54730,64229,44360,82461,72067,85128,106734,38609,72941,80733,84305,102231,74933,104326,149168,192968,191609,77854,81449,98907,170248,208537,35159,41182,39407,60024,96997,13130,15820,15287,20324,35125,17057,22377,23263,27181,48191,40236,58292,69755,75970,109534,21866,26912,40112,51889,59892,5674,8476,11398,18057,25242,694455,924897,985259,1262457,1538631,18112,19038,21490,31496,28951,218960,324107,360723,469645,579408,179359,246550,263194,335588,403144,6248,11457,17841,22581,185,244695,375127,413327,527824,667796,218960,324107,360723,469645,579408,25735,51020,52604,58179,88388,5625,11617,8483,10656,16360,1888,5430,5199,7682,12814,1420,4317,3133,2725,3174,9636,22737,25342,28199,42292,7166,6919,10447,8917,13748
G170,Illinois,17,170,11113976,11426518,11430602,12419293,12830632,12823860,0,936950,842241,848141,876549,835577,1098592,849613,836619,929858,859405,1134688,919385,796468,905097,879448,625393,631798,465138,533947,554749,385669,435197,352863,360055,367343,175929,218741,179108,179332,179613,165279,213348,169099,167603,172795,502436,640919,511880,503908,526556,747420,985619,984090,891759,910273,636444,869244,1009095,919915,865684,1268932,1293695,1700144,1983870,1725890,1296554,1161441,1166727,1626742,1870879,568193,593160,485581,577747,807778,205224,214369,195755,195386,284180,272619,295863,293349,267500,381249,672286,761483,821940,772247,849535,340187,385720,467056,535747,524766,81181,114682,147549,192031,234912,10830183,11155055,11143646,12097512,12528859,283793,271463,286956,321781,301773,3502138,4045374,4202240,4591779,4836972,2783641,2931117,2924880,3105513,3182984,8066,15201,23104,29519,122,3703367,4319672,4506275,4885615,5296715,3502138,4045374,4202240,4591779,4836972,201229,274298,304035,293836,459743,99451,112793,131205,99019,158882,21049,47484,40495,46896,82739,16944,29033,36767,31689,24675,31623,31610,25263,30119,47604,32162,53378,70305,86113,145843
G180,Indiana,18,180,5193669,5490224,5544159,6080485,6483802,6485530,0,455676,418764,398656,423215,434075,529024,433053,410463,443273,444821,545903,454828,406513,443416,452171,309690,311673,240332,264492,277231,192550,217955,187247,188990,198284,88801,108520,92617,95673,98994,83833,106682,86806,89190,94313,242090,303459,238212,240868,258719,345862,462851,448076,409035,419530,293609,411557,467033,422090,407815,582399,613583,819161,960703,840830,578857,550112,570791,816865,946768,243982,278021,239692,294169,418515,88726,97925,96812,99818,150022,118858,135857,145552,135857,200606,298723,350459,402041,395393,452335,155165,180515,222404,265880,273501,39921,54410,71751,91558,115272,5057210,5344543,5382167,5902331,6296879,136459,145681,161992,178154,186923,1609494,1927050,2065355,2336306,2502154,1318020,1455556,1480351,1602501,1674126,7142,13149,20397,24558,123,1730099,2091795,2246046,2532319,2795541,1609494,1927050,2065355,2336306,2502154,120605,164745,180691,196013,293387,41176,50497,55713,64363,93029,15037,21942,22343,29816,46410,8889,17445,19046,17432,14721,36090,41727,37065,33982,45771,19413,33134,46524,50420,93456
G190,Iowa,19,190,2824376,2913808,2776755,2926324,3046355,3047646,0,233212,221628,193203,188413,202123,280101,211041,209338,202603,200646,293440,231700,204217,210547,200904,168184,161504,112122,132075,124320,105291,116129,87294,94345,92517,45197,57650,44005,47185,47227,41990,55065,41228,43184,44695,116504,159309,111186,113294,121428,167505,243200,206616,177259,197843,147263,205954,222003,185801,184740,296896,302697,395321,445199,364548,310852,281422,274428,392794,439726,140549,145854,122335,139052,204393,53945,54915,50049,48874,72152,73154,78156,77304,69486,96205,200561,214854,226961,211935,224656,118090,127790,143890,159160,153574,31642,44940,55255,65118,74658,2733699,2817473,2677235,2822155,2948243,90677,96335,99520,104169,98112,896311,1053033,1064325,1149276,1221576,713490,770283,740819,769684,790034,7136,12422,19674,26545,135,964060,1131299,1143669,1232511,1336417,896311,1053033,1064325,1149276,1221576,67749,78266,79344,83235,114841,20611,23319,21895,23272,31812,7459,12374,11076,14067,18405,5845,8199,8416,7444,7358,13086,15803,14696,16549,21107,20748,18571,23261,21903,36159
G200,Kansas,20,200,2246578,2363679,2477574,2688418,2853118,2851183,0,175049,180877,188390,188708,205492,212731,169015,195981,195574,202447,227198,175363,179473,204018,198884,131376,123780,97770,124693,120116,85836,93941,74406,85425,83705,41938,49149,39311,42487,42758,41270,46962,36994,39085,40931,105214,136677,103782,108595,120765,139029,202671,201424,172975,197783,118237,171947,211749,175878,179937,243772,249640,361326,420351,346673,247172,231429,235388,354147,406264,110211,119932,103821,121645,182512,42291,44208,41529,41252,63661,59053,61825,63659,57356,85074,154418,173411,184664,175916,190389,87884,99397,115666,128543,126409,23899,33455,42241,51770,59318,2160877,2283217,2394809,2606468,2774044,85701,80462,82765,81950,79074,727364,872239,944726,1037891,1112096,578815,635023,658600,701547,734103,7350,13300,20506,26845,156,789196,954906,1044112,1131200,1233215,727364,872239,944726,1037891,1112096,61832,82667,99386,93309,121119,23162,26361,37643,30940,40445,7881,14397,15248,14821,16286,5195,9701,8065,7845,7229,5862,10272,7531,9776,12892,19732,21936,30899,29927,44267
G210,Kentucky,21,210,3218706,3660777,3685296,4041769,4339367,4340167,0,271099,282731,250871,265901,282367,317243,289411,265457,279258,282888,333392,301745,275287,279481,284154,192308,208843,162479,170178,173962,126448,145596,122682,118826,122833,59574,72837,59496,60868,61268,55198,70178,56482,57540,58657,150510,203104,161329,164624,170043,204197,309338,301293,281134,285296,176793,276288,308826,286974,280920,350340,404520,549063,642665,576662,349053,354252,382366,556932,643097,155644,178333,162821,204483,288027,58773,64209,63785,71143,106469,80706,89564,96214,96969,144497,207107,248988,268226,273943,325314,103733,125804,152252,172589,183705,26588,35036,46367,58261,69208,3118607,3557750,3584120,3926965,4213497,100099,103027,101176,114804,125870,983665,1263355,1379782,1590647,1719965,820880,983353,1015998,1104398,1149905,5978,11153,18093,23210,125,1064451,1369125,1506845,1750927,1927164,983665,1263355,1379782,1590647,1719965,80786,105770,127063,160280,207199,30716,33154,37390,44268,56960,7465,12622,15931,20748,27286,6705,10999,12328,13421,11746,19845,22288,21159,31135,39243,16055,26707,40255,50708,71964
G220,Louisiana,22,220,3641306,4205900,4219973,4468976,4533372,4529605,0,348323,361533,334650,317392,314260,397447,345966,358365,336780,306362,410669,371795,342455,347912,306836,231318,251174,191799,217715,190557,144640,174983,140341,148230,136222,68133,88826,69669,71946,68251,60685,84875,65667,67101,67763,170491,246575,188834,186524,202295,233630,368732,345375,296161,332925,198964,312027,358547,305001,295508,393546,450219,605936,691966,564599,373121,393906,406440,586271,654375,161508,189278,171927,208761,292567,60231,69599,67728,71817,103687,81893,92133,103249,98470,139308,199721,254901,275008,282925,311994,84631,118843,150350,175328,180177,22355,30535,43633,58676,65686,3540597,4109664,4107395,4333011,4405945,100709,96236,112578,135965,127427,1052038,1411788,1499269,1656053,1728360,867710,1068835,1089882,1156438,1160118,6430,10635,16912,24264,131,1150235,1548419,1716241,1847181,1964981,1052038,1411788,1499269,1656053,1728360,98197,136631,216972,191128,236621,42122,42907,72742,54185,66857,9514,14524,27089,18097,21480,5638,16396,20834,18144,10567,13586,29750,30786,40103,43252,27337,33054,65521,60599,94465
